latitude,longitude,altitude,heading,distance_from_start_point,phone_make_model,date,time
40.34806629,-74.65854625,3.35069707,64,72.96643002,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:09:21
40.34805702,-74.65863119,3.34897514,64,65.81472029,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:09:07
40.34803945,-74.65874639,3.34456606,64,55.96729867,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:08:56
40.34800251,-74.65882545,3.3383116,64,48.27616712,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:08:46
40.34798747,-74.65891014,3.34235398,64,40.94859368,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:08:29
40.34796436,-74.65899843,3.34823089,64,33.03843265,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:08:17
40.34792612,-74.65907537,3.36324804,64,25.52105938,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:08:07
40.34792106,-74.65917678,3.33607051,64,17.19958885,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:07:54
40.34789755,-74.65926389,3.33027808,64,9.382098894,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:07:41
40.34786308,-74.65936494,3.84496946,64,0,Apple iPhone 14 Pro Max, Tue Sep 17 2024,15:07:25
