marker,latitude,longitude,year
174,41.89784304,12.47778328,1422
175,41.9033831,12.46559254,1495
176,41.89885646,12.47385437,1495
177,41.89798104,12.47393354,1805
178,41.89785414,12.47778256,1495
179,41.90251317,12.45987142,1476
180,41.91145945,12.47581692,1530
181,41.89787687,12.47778057,1530
182,41.89606569,12.47520696,1557
183,41.89782948,12.47778573,1557
184,41.90270497,12.46627771,1598
185,41.90268792,12.46597337,1598
186,41.91144714,12.47582478,1598
187,41.90170943,12.46324381,1598
188,41.89234752,12.47502737,1598
189,41.89786522,12.47778173,1598
190,41.89602831,12.47520426,1598
191,41.89319117,12.47600828,1598
192,41.89906611,12.478091,1598
193,41.90885174,12.47843442,1598
194,41.90269901,12.46612311,1647
195,41.90269401,12.46589631,1660
196,41.90193744,12.4636171,1277
197,41.90738522,12.47700735,1805
198,41.90462642,12.47558373,1805
199,41.89440542,12.46965019,1846
200,41.89430492,12.4695785,1858
201,41.898471,12.47586418,1495
202,41.89659485,12.47483584,1870
203,41.89677886,12.47865705,1870
204,41.90889784,12.47694194,1870
205,41.89887523,12.47706509,1870
206,41.89796687,12.47575749,1870
207,41.89694924,12.47550703,1870
208,41.8972213,12.47505858,1870
209,41.90352525,12.47865185,1870
210,41.89089059,12.47717202,1870
211,41.89908891,12.47844913,1870
212,41.89611609,12.47454368,1870
213,41.9010816,12.47317048,1870
214,41.89828024,12.47449609,1870
215,41.89809433,12.47450342,1870
216,41.8957833,12.47492282,1870
217,41.90461593,12.48068834,1870
218,41.89989856,12.47642099,1870
219,41.89782438,12.47645743,1870
220,41.89926859,12.4764911,1870
221,41.88949813,12.48311673,1870
222,41.89781976,12.4777859,1870
223,41.90152542,12.47040945,1870
224,41.90325936,12.46772946,1878
225,41.89329285,12.46691209,1900
226,41.89034587,12.47842727,1900
227,41.90165767,12.47078161,1900
228,41.90663742,12.47671399,1870
229,41.89702607,12.47810394,1870
230,41.89673808,12.47628892,1870
231,41.89470169,12.47804451,1870
232,41.89028125,12.47805251,1870
233,41.89126985,12.47019563,1870
234,41.89843504,12.4734598,1870
235,41.89713001,12.47308864,1870
236,41.89429864,12.47407575,1870
237,41.89996651,12.48002594,1870
238,41.9016407,12.47974873,1870
239,41.9039051,12.48015777,1870
240,41.90157478,12.47009051,1870
241,41.89943396,12.47734497,1870
242,41.89790214,12.47281668,1870
243,41.89951516,12.47847386,1870
244,41.90009198,12.47291141,1870
245,41.89833336,12.47498833,1870
246,41.89696369,12.46861231,1870
300,41.90543113,12.4757048,1821
301,41.90498249,12.47517527,1606
302,41.89251659,12.4709916,1871
303,41.90514943,12.47520265,1704
747,41.90303219,12.48149032,1870
748,41.89323382,12.46695327,1870
749,41.9024619,12.46634204,1915
750,41.88827361,12.48163285,1900
751,41.88845753,12.48179163,1900
753,41.89102126,12.47722182,1937
754,41.88485825,12.4761059,1937
755,41.89036768,12.4781419,1937
756,41.90272511,12.46597181,1870
757,41.89716134,12.47826314,1870
758,41.9031922,12.47874333,1870
759,41.9022682,12.47344032,1495
760,41.89329042,12.48346774,1871
844,41.90185688,12.47387157,1870
844,41.90167587,12.47474647,1870
-1,41.90392094,12.47908796,1598
-1,41.89153432,12.47447521,1887
-1,41.90192281,12.46354552,1230
-1,41.89593698,12.48221862,-1830
-1,41.90252664,12.47597886,-1830
-1,41.90252904,12.47599007,-1830
-1,41.90252558,12.47599126,-1830
-1,41.90252316,12.47597993,-1830
-1,41.90252655,12.47597887,-1830
-1,41.88926853,12.49799432,-1830
-1,41.8981499,12.47365703,1530
-1,41.9025408,12.46585875,1530
-1,41.89207529,12.46886525,1530
-1,41.89978263,12.4715098,1530
-1,41.90053563,12.4728547,1530
-1,41.89784682,12.47786001,1389
-1,41.90472469,12.47743855,1557
-1,41.90188879,12.47240277,1589
-1,41.90159857,12.4625037,1495
-1,41.8995324,12.46510152,1598
-1,41.88413142,12.47529222,1598
-1,41.90061081,12.46522244,1598
-1,41.89494327,12.47641168,1598
-1,41.88550939,12.47686222,1606
-1,41.88530437,12.47666493,1637
-1,41.8851559,12.47635483,1660
-1,41.90456655,12.47652234,1805
-1,41.88652158,12.47657821,1900
-1,41.90281193,12.46573578,1598
-1,41.90420048,12.47499132,1880
-1,41.89977316,12.47153128,1598
-1,41.89716607,12.47359743,1870
-1,41.89795037,12.46867331,1180
-1,41.90973409,12.47626132,1871
-1,41.89775024,12.47280921,1530
-1,41.88486454,12.4766093,1870
-1,41.90795224,12.47599979,1878
-1,41.90445442,12.475253,1870
-1,41.89773696,12.47229755,1530
-1,41.89814709,12.47378338,1495
-1,41.90320497,12.47983132,1805
-1,41.89783641,12.477861,1660
-1,41.89653669,12.47333883,1495
-1,41.90280874,12.46222201,1495
-1,41.87330469,12.47037156,1805
-1,41.90164919,12.47100738,1514
