latitude,longitude,altitude
40.34880187,-74.65886884,3.39271977
40.34790585,-74.65446788,3.81894987
40.34893026,-74.65906194,3.35500634
40.34887991,-74.65936854,3.79328677
40.34879809,-74.65948574,4.08566704
40.3489202,-74.65938816,3.36321606
40.34889004,-74.65935181,3.37299818
40.34890924,-74.65916764,3.37916757
40.34886436,-74.65936089,3.37161437
40.34888889,-74.65916667,3.37247329
40.34918585,-74.66102621,3.43886032
40.3489112,-74.65944227,3.19508249
40.34886433,-74.65934861,3.56857023
40.34928313,-74.66110308,3.45217948
40.35679115,-74.64778247,3.38535577
40.3537436,-74.65566797,3.37467038
40.34886321,-74.65936114,3.37425143
40.34890657,-74.65938279,3.38364355
40.35172321,-74.66292784,3.38119434
40.35324207,-74.66132046,3.26350188
40.35275746,-74.65887531,3.65851285
40.35327935,-74.65740879,3.37654954
40.34885738,-74.65939493,3.39047095
40.34889889,-74.65936936,3.37467145
40.34892163,-74.65933511,3.30327685
40.34889706,-74.65937279,3.37535211
40.34889419,-74.65937886,3.37249094
40.34888407,-74.65942497,35.32171925
40.34887241,-74.65938072,15.05007765
40.34794998,-74.65445205,3.42915553
40.34798067,-74.65401122,3.38569452
40.34894723,-74.65912135,3.29231281
40.34900775,-74.6593562,2.42301345
40.34896339,-74.65933854,2.74229357
40.34903198,-74.65947286,25.39280558
40.34895451,-74.65931178,28.76221769
40.34896889,-74.65933485,3.31761911
40.34891761,-74.65936072,2.37807029
40.34896821,-74.65941478,3.02273142
40.34894624,-74.65929168,2.90830671
40.34899205,-74.65937668,2.80676399
40.34907551,-74.65939632,3.23803808
40.34896125,-74.65931281,2.88873342
40.35684838,-74.64770533,3.41969356
40.34894466,-74.65937553,3.51479961
40.3489585,-74.65938143,2.72689689
40.34890316,-74.65938238,3.28523445
40.34886807,-74.65944497,3.01001026
40.34889445,-74.65945598,3.35125846
40.34906428,-74.65945458,3.26962436
40.34904081,-74.65939701,3.31540615
40.3488815,-74.65941637,3.36470945
40.34896652,-74.65939911,3.21150966
40.34895292,-74.65942392,3.27208934
40.34884069,-74.65951952,4.07201226
40.35144354,-74.65411813,3.41731043
40.34894355,-74.65936992,4.01136345
40.34892884,-74.65945189,3.29772352
40.34897217,-74.65947341,3.38452021
40.34893291,-74.65941972,3.27730584
40.3483077,-74.66240474,3.78402538
40.34790585,-74.65446788,3.81894987
40.34893026,-74.65906194,3.35500634
40.34887991,-74.65936854,3.79328677
40.34879809,-74.65948574,4.08566704
40.3489202,-74.65938816,3.36321606
40.34889004,-74.65935181,3.37299818
40.34890924,-74.65916764,3.37916757
40.34886436,-74.65936089,3.37161437
40.34902627,-74.6594007,3.48128764
40.34898004,-74.65943704,3.10462897
40.34896504,-74.65933304,3.28951893
40.34895522,-74.65942083,3.37749662
40.34894625,-74.65944194,3.29005605
40.34891787,-74.65936388,2.93632105
40.35257737,-74.64956206,3.36047263
40.34819397,-74.65533293,3.45536355
40.34894685,-74.65937179,3.33062079
40.3489962,-74.65927998,3.59797411
40.34830181,-74.65996478,3.37023843
40.34869162,-74.65846823,3.08104866
40.34876066,-74.65966414,3.53001595
40.34891007,-74.65927583,3.34301351
40.34819397,-74.65533293,3.45536355
40.34894685,-74.65937179,3.33062079
40.3489962,-74.65927998,3.59797411
40.34830181,-74.65996478,3.37023843
40.34869162,-74.65846823,3.08104866
40.34876066,-74.65966414,3.53001595
40.34891007,-74.65927583,3.34301351
40.34819397,-74.65533293,3.45536355
40.34894685,-74.65937179,3.33062079
40.3489962,-74.65927998,3.59797411
40.34830181,-74.65996478,3.37023843
40.34869162,-74.65846823,3.08104866
40.34876066,-74.65966414,3.53001595
40.34891007,-74.65927583,3.34301351
40.34882488,-74.65938507,3.36936162
40.34886897,-74.65937308,3.32977562
40.34883043,-74.65938392,3.37677844
40.34872459,-74.6593203,3.38622694
40.34879301,-74.65937087,3.34877353
40.34880187,-74.65886884,3.39271977
40.34887996,-74.65935919,3.3779857
40.34896086,-74.65936881,3.36347176
40.34901407,-74.65938973,2.96640568
40.34883713,-74.65937166,4.0009421
40.349003,-74.65944987,3.24774363
40.34887644,-74.65938063,3.42934048
40.34891005,-74.65936902,2.86962357
40.34266852,-74.65456699,3.84259722
40.34269802,-74.65452929,3.5254677
40.34887345,-74.65937517,3.00049904
40.34887345,-74.65937517,3.00049904
40.34887345,-74.65937517,3.00049904
40.34918229,-74.65946227,7.23048258
40.34918229,-74.65946227,7.23048258
40.34918229,-74.65946227,7.23048258
40.34873974,-74.65933913,3.3836894
40.34889083,-74.65937863,3.47474003
40.34884829,-74.65931811,3.87312174
40.34885634,-74.65932852,3.37130551
40.34892279,-74.65925638,3.32867867
40.34884883,-74.65935787,3.36863632
